    1   0.000000  10.82.1.128 → 10.82.1.128  ICMP 98 Echo (ping) request  id=0x0015, seq=1/256, ttl=64
    2   1.025525  10.82.1.128 → 10.82.1.128  ICMP 98 Echo (ping) request  id=0x0015, seq=2/512, ttl=64
    3   2.049526  10.82.1.128 → 10.82.1.128  ICMP 98 Echo (ping) request  id=0x0015, seq=3/768, ttl=64
    4   3.069524  10.82.1.128 → 10.82.1.128  ICMP 98 Echo (ping) request  id=0x0015, seq=4/1024, ttl=64
    5   4.093514  10.82.1.128 → 10.82.1.128  ICMP 98 Echo (ping) request  id=0x0015, seq=5/1280, ttl=64
